Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",ESMQ351VSN102MA50S,4,1mF,
"C10, C11, C12, C13, C8, C9",0603,6,10nF,
"C14, C17, C18",0603,3,4.7uF,
"C15, C16, C19, C21, C23, C24, C26, C33, C34, C35, C36, C38, C39, C41, C42, C43, C45, C46, C47, C48, C49, C5, C51, C53, C54, C55, C56, C6",0603,28,100nF,
"C20, C22, C25, C27, C37, C40",0603,6,22uF,
"C28, C29, C30, C31, C32, C50, C52, C7",0603,8,1uF,
"D10, D11, D8, D9",0603,4,D,
D15V1,0603,1,LED_15V,
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D3V3,0603,1,LED_3.3V,
"D4, D5, D6, D7",D_SOD-123,4,D,
"Fan1, Fan2",CONN-TH_3P-P2.54_22-23-2031,2,0022232031,0022232031
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,6,~,
J10,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",1,Net,
J3,"TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",1,ISO_Data,
J4,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",1,Motor,
J5,Adafruit_938,1,Display,
J6,PinHeader_1x03_P2.54mm_Vertical,1,MAX312820,
J7,PinHeader_1x11_P2.54mm_Vertical,1,Test,
J8,PinHeader_1x01_P2.54mm_Vertical,1,U_ZK,
J9,PinHeader_1x01_P2.54mm_Vertical,1,U_VS,
K2,Relay_SPDT_Schrack-RT1-16A-FormC_RM5mm,1,RT314A12,
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,2.2uH,
PS1,Converter_ACDC_MeanWell_IRM-20-xx_THT,1,IRM-20-15,
"Q1, Q2",SOT-23,2,DMN3404L,
R1,PWR220T-20,1,14.4,
"R10, R13, R2, R26, R27, R29, R3, R30, R32, R38, R4, R48, R49, R5, R50, R51, R52, R6, R7, R8, R9",0603,21,121,
"R11, R39",0603,2,33k,
"R12, R19, R23, R28, R34, R40, R57, R58, R59, R62",0603,10,10k,
"R14, R47",0603,2,820,
"R15, R16, R17",0603,3,100K,
R18,1206,1,90,
"R20, R21, R22",0603,3,1K,
"R24, R25",0603,2,1.6k,
R31,1206,1,0,
R33,0603,1,1.8k,
R35,0603,1,999M,
"R36, R37",0603,2,24,
R41,0603,1,"3,3k",
R42,0603,1,4.7k,
"R43, R44, R45, R65",0603,4,10M,
"R46, R63, R64",1206,3,33k,
"R53, R54, R55, R56",0603,4,0,
R60,0603,1,330,
R61,0603,1,3.3k,
"R66, R67",0603,2,5.1k,
"SW1, SW2, SW3",KEY-SMD_4P-L6.1-W6.1-P4.50-LS9.0,3,PTS645SM95SMTR92LFS,C221884
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.5mm,4,TestPoint,
TP5,TestPoint_Pad_D1.5mm,1,MTCK,
TP6,TestPoint_Pad_D1.5mm,1,MTDO,
TP7,TestPoint_Pad_D1.5mm,1,MTMS,
TP8,TestPoint_Pad_D1.5mm,1,MTDI,
U1,BULETM-SMD_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,
"U10, U11, U9",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,3,CC6904SO-30A,C521203
U12,Converter_DCDC_TRACO_TEA1HI-xxxx_THT,1,TEA1-0505HI,
U13,DIP-24_L36.0-W21.0-P1.60-LS28.6-TL,1,IKCM20L60GA,C536161
"U14, U17, U19, U20",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,4,PSRV05-4MR6T1G,C2936987
"U15, U16",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,ADUM1201ARZ-RL7,C9669
U18,SOT-23-3_L2.9-W1.3-P1.90-LS2.3-BR,1,PMV100EPAR,C3290636
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM3160,
U21,RES-ADJ-TH_RK09D1130C4G,1,RK09D113000F_10k,C470317
U3,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C_16PIN_2MD(073),C2765186
U4,LVE2560E,1, LVE2560E,
U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,TPS563201DDCR,C116592
"U6, U7",SW-SMD_L3.9-W3.0-P4.45,2,SKRKAEE020,C115357
U8,WQFN-16_L3.0-W3.0-P0.50-TL-EP1.7,1,TLA2528IRTER,C2866175
